中央卫视,#genre#
天津卫视,http://221.213.43.82:8888/newlive/live/hls/42/live.m3u8
东方卫视,http://221.213.43.82:8888/newlive/live/hls/20/live.m3u8
吉林卫视,http://111.59.63.32:9901/tsfile/live/1043_1.m3u8
江西卫视,http://221.213.43.82:8888/newlive/live/hls/46/live.m3u8
浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel01/1080p.m3u8

港澳台,#genre#
RTHK34,https://epg.pw/stream/6e369058eba43ac78a0c076f78eaa1227afd471bdccf9df70077738d1152e0ba.m3u8
RTHK35,https://epg.pw/stream/cabd18457f278cda40ac160bccabf77a6b0ad341e50a00bd62620d78819dd220.m3u8
尼克儿童节,https://epg.pw/stream/3f9e0cbf40dd4828d593f974c80730357e4fdc12f11b239ef6f6542e21e781a4.m3u8
时尚运动,https://epg.pw/stream/23fe8dae8925e6b180c6c7970f362418403d3081aa683ef00221572f424ae392.m3u8
民事新闻台,http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8
民事新闻台,http://38.64.72.148/hls/modn/list/4012/chunklist0.m3u8
民事新闻台,http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8
民事新闻台,http://38.64.72.148/hls/modn/list/4012/chunklist1.m3u8
民事新闻台,https://epg.pw/stream/7270ae89dc1f30cfec2c03d01b6e2fbc50863f60936b534814dfd28caa72181e.m3u8
民事新闻台,https://epg.pw/stream/c5164ddd2983de1b83d87250bb921836d47363c90dc4643440e92060c18e98e6.m3u8
民事新闻台,https://epg.pw/stream/357581cc08ace7ef32a04c9c53578fe9906e137989e1f5e0355395f7a3ae8e37.m3u8
民事新闻台,https://epg.pw/stream/9e0c5226b50fcd68d592dc0ae62154c62a9fd50732329250ee0daf4879ccae49.m3u8
民事新闻台,https://epg.pw/stream/1d469cbfb06b06cde4dc59c21272a4e6da364621e97513d03523c96d0c7afe1e.m3u8
民事新闻台,https://epg.pw/stream/59efca9eea64079ba2ac54830e73469d9a1027e2dfd67d768bd4206567866cdb.m3u8
民事新闻台,https://epg.pw/stream/0a9b2611d6fd15d90be0ec3144d0b783dd45a65ac7a15d2e85dd93860170b1af.m3u8
民事新闻台,https://epg.pw/stream/2603220ae7a890e8e1027a6362e9aaec880131ce06da58c4e89365ce6d410772.m3u8
民事新闻台,https://epg.pw/stream/c8bfbc31e5af4b4d07b7222dc9ac9315dd57fbd663daafea3ce611c5bc57cf83.m3u8
民事新闻台,https://epg.pw/stream/6fa1566ea8689cbf43afb55f899dc5ee945e1caabde5bfc367cc510aa794d313.m3u8
民事新闻台,https://epg.pw/stream/76f0ee00f9e59f698ff954d5f79bf2c7f5ecbc83a47381bb74906acd165bd48c.m3u8
未来体育,https://epg.pw/stream/4f18dfe0593db5c686eb64ae8edaf2a9202d4d46bdc9bbde2cee27708e12ea01.m3u8
澳视萄文,https://epg.pw/stream/230d718383bedd8c9757fbfe8589a51c9ecf4131fbfb7a22f462ddf17fa1435e.m3u8
Ftv 4k,http://brics.bonus-tv.ru/cdn/brics/chinese/tracks-v1a1/index.m3u8

北京,#genre#
北京新闻频道BTV9,https://live.funhillrm.com/5/sd/live.m3u8

天津,#genre#

上海,#genre#
上海|东方购物频道,http://ocj2.kksmg.com/ocj2/ocj2.m3u8
上海|金山电视台,http://livejs1.newsjs.net/jspd/playlist.m3u8

黑龙江,#genre#
哈尔滨|新闻综合频道,http://stream.hrbtv.net/xwzh/sd/live.m3u8
哈尔滨|生活频道,http://stream.hrbtv.net/shpd/sd/live.m3u8
哈尔滨|娱乐频道,http://stream.hrbtv.net/ylpd/sd/live.m3u8
哈尔滨|影视频道,http://stream.hrbtv.net/yspd/sd/live.m3u8

辽宁,#genre#
大连|新闻综合频道,http://live.dltv.cn/tcb3IB5/m67txb0.m3u8
大连|生活频道,http://live.dltv.cn/JzcFkF4/p64Jxc0.m3u8
大连|电视台文体频道,http://live.dltv.cn/hxT7Fc3/56olxT0.m3u8

江苏,#genre#
江苏|无锡新闻综合,http://stream.thmz.com/wxtv1/playlist.m3u8
江苏|无锡新闻综合,http://stream.thmz.com/wxtv1/sd/live.m3u8
江苏|无锡都市资讯,http://stream.thmz.com/wxtv3/playlist.m3u8
江苏|无锡都市资讯,http://stream.thmz.com/wxtv3/sd/live.m3u8
江苏|无锡娱乐,http://stream.thmz.com/wxtv2/playlist.m3u8
江苏|无锡娱乐,http://stream.thmz.com/wxtv2/sd/live.m3u8
江苏|徐州新闻综合,http://stream3.huaihai.tv/xwzh1t/sd/live.m3u8
江苏|徐州经济生活,http://stream3.huaihai.tv/xz2t/sd/live.m3u8
江苏|徐州公共频道,http://stream3.huaihai.tv/xz4t/sd/live.m3u8
江苏|如东新闻,http://rudong-tv-hls.cm.jstv.com/rudong-tv/rdxwzh.m3u8
江苏|淮安公共频道,http://live1.habctv.com/ggpdsl/sd/live.m3u8
江苏|淮安影院娱乐,http://live1.habctv.com/ysylsl/sd/live.m3u8

